Date,Price,Year,Month,Day,DayOfWeek,MA7,MA14,MA30,Lag1,Lag2,Lag3
2009-08-28,112.68,2009,8,28,4,112.97857142857143,116.02571428571427,115.66266666666667,112.25,113.85,111.97
2009-08-31,112.41,2009,8,31,0,112.74857142857142,115.32714285714287,115.56433333333332,112.68,112.25,113.85
2009-09-01,108.53,2009,9,1,1,112.03857142857143,114.12857142857142,115.32766666666667,112.41,112.68,112.25
2009-09-02,112.54,2009,9,2,2,112.03285714285714,113.55214285714285,115.27233333333334,108.53,112.41,112.68
2009-09-03,101.42,2009,9,3,3,110.5257142857143,112.32071428571429,114.76933333333335,112.54,108.53,112.41
2009-09-04,113.38,2009,9,4,4,110.45857142857143,112.11142857142856,114.66,101.42,112.54,108.53
2009-09-06,122.94,2009,9,6,6,111.98571428571428,112.67428571428572,114.875,113.38,101.42,112.54
2009-09-07,109.43,2009,9,7,0,111.52142857142857,112.25,114.66800000000002,122.94,113.38,101.42
2009-09-09,115.3,2009,9,9,2,111.9342857142857,112.34142857142857,114.65733333333333,109.43,122.94,113.38
2009-09-10,121.28,2009,9,10,3,113.75571428571428,112.89714285714285,114.80466666666668,115.3,109.43,122.94
2009-09-11,122.62,2009,9,11,4,115.1957142857143,113.61428571428571,114.96833333333333,121.28,115.3,109.43
2009-09-12,124.59,2009,9,12,5,118.50571428571428,114.51571428571428,115.58200000000001,122.62,121.28,115.3
2009-09-14,118.99,2009,9,14,0,119.30714285714285,114.88285714285715,115.797,124.59,122.62,121.28
2009-09-15,120.62,2009,9,15,1,118.97571428571429,115.48071428571428,115.82466666666666,118.99,124.59,122.62
2009-09-16,120.82,2009,9,16,2,120.60285714285715,116.06214285714286,115.784,120.62,118.99,124.59
2009-09-17,121.59,2009,9,17,3,121.50142857142858,116.71785714285714,116.19033333333333,120.82,120.62,118.99
2009-09-18,121.41,2009,9,18,4,121.52000000000001,117.63785714285714,116.40766666666667,121.59,120.82,120.62
2009-09-21,120.5,2009,9,21,0,121.21714285714286,118.20642857142857,116.35133333333333,121.41,121.59,120.82
2009-09-22,121.43,2009,9,22,1,120.76571428571428,119.63571428571427,116.222,120.5,121.41,121.59
